Chapter,Number of Duas,Arabic,Transliteration,Translation,Reference
Chapter 109: Returning a greeting to a disbeliever,1 du'a,إذَا سَلَّمَ عَلَيْكُمْ أَهْلُ الْكِتَابِ فَقُولُوا:  وَعَلَيْكُمْ,"If one of the People of the Scripture (i.e., Christians and Jews) greets you saying As-Salaamu alaykum, then say (to him): 'Wa alaykum' And upon you .","If one of the People of the Scripture (i. e. Christians and Jews) greets you saying As-Salaamu `alaykum, then say (to him): And upon you .","Reference:Al-Bukhari, cf. Al-Asqalani, Fathul-Bari 11/42, Muslim 4/1705.Hisnul Muslim 227"
Chapter 110: Upon hearing a rooster crow or the braying of a donkey,recommendation,إِذَا سَمِعْتُمْ صِيَاحَ الدِّيَكَةِ فَاسْأَلُوا اللَّهَ مِنْ فَضْلِهِ فَإِنَّهَا رَأَتْ مَلَكاً وَإِذَا سَمِعْتُمْ نَهِيقَ الْحِمَارِ فَتَعَوَّذُوا بِاللَّهِ مِنَ الشَّيطَانِ فَإِنَّهُ رَأَى شَيْطَاناً,,,"Reference:Al-Bukhari, cf. Al-Asqalani, Fathul-Bari 6/350, Muslim 4/2092.Hisnul Muslim 228"
Chapter 111: Upon hearing the barking of dogs at night,recommendation,إِذَا سَمِعْتُمْ نُبَاحَ الْكِلاَبِ وَنَهِيقَ الْحَمِيرِ بِاللَّيْلِ فَتَعَوَّذُوا بِاللَّهِ مِنْهُنَّ فَإِنَّهُنَّ يَرَيْنَ مَا لاَ تَرَوْنَ,,,"Reference:Abu Dawud 4/327, Ahmad 3/306. Al-Albani graded it authentic in Sahih Abu Dawud 3/961.Hisnul Muslim 229"
Chapter 112: For one you have insulted,1 du'a,قال صلى الله عليه وسلم:'اللَّهُم فأيما مؤمن سببته فاجعل ذلك له قربة إليك يوم القيامة',Allāhumma fa'ayyumā mu'minin sababtuhufaj`al dhālika lahu qurbatan ilayka yawma ‘l-qiyāmah.,"O Allah, whomever of the believers I have abused, give him the reward of a sacrificial slaughter for it on the Day of Resurrection.","Reference:Al-Bukhari, cf. Al-Asqalani, Fathul-Bari 11/171, Muslim 4/2007. The wording in Muslim's report is: 'make it a purification for him and a source of mercy.Hisnul Muslim 230"
Chapter 113: The etiquette of praising a fellow Muslim,1 du'a,قال صلى الله عليه وسلم: أَحْسِبُ فُلاَناً وَاللَّهُ حَسِيبُهُ وَلاَ أُزَكِّي عَلَى اللَّهِ أَحَداً أَحْسِبُهُ – إِنْ كَانَ يَعْلَمُ ذَاكَ – كَذَا وَكَذَا',Aḥsibu fulānan wallāhu ḥasībuhwa lā uzakkī `alallāhi aḥada.,"If any of you praises his companion then let him say: I consider (such and such a person), and Allah is his Assessor, (meaning: and I cannot claim anyone to be pious before Allah) if you know of this (good character trait in the person) to be such and such (saying what he thinks is praiseworthy in that person).",Reference:Muslim 4/2296.Hisnul Muslim 231
Chapter 114: For the one that have been praised,1 du'a,اللَّهُمَّ لاَ تُؤَاخِذْنِي بِمَا يَقُولُونَ وَاغْفِرْ لِي مَا لاَ يَعْلَمُونَ [وَاجْعَلْنِي خَيْرًا مِمَّا يَظُّنُّونَ],Allāhumma lā tu'ākhidhnī bimā yaqūlūn. waghfir lī mā lā ya`lamūn[waj`alnī khayran mimmā yaẓunnūn].,"O Allah, do not call me to account for what they sayand forgive me for what they have no knowledge of[and make me better than they imagine].","Reference:Al-Bukhari, Al-'Adabul-Mufrad no. 761. See Al-Albani, Sahih Al-'Adabul-Mufrad (no. 585). The portion between brackets if from Al-Bayhaqi, Shu'ab Al-Iman 4/228, and comes another account.Hisnul Muslim 232"
Chapter 115: The Talbiya for the one doing Hajj or Umrah,1 du'a,لَبَّيْكَ اللَّهُمَّ لَبَّيْكَ لَبَّيْكَ لاَ شَرِيكَ لَكَ لَبَّيْكَ إِنَّ الْحَمْدَ والنِّعْمَة لَكَ والمُلْكُ لَا شَرِيكَ لَكَ,"Labbayk-Allāhumma labbayk. labbayka lā sharīka laka labbayk. inna ‘l-ḥamda, wanni`mata, laka wa ‘l-mulk. lā sharīka lak.","I am here at Your service, O Allah, I am here at Your service. I am here at Your service, You have no partner, I am here at Your service. Surely the praise, and blessings are Yours, and the dominion. You have no partner.","Reference:Al-Bukhari, cf. Al-Asqalani, Fathul-Bari 3/408, Muslim 2/841.Hisnul Muslim 233"
Chapter 116: The Takbîr passing the black stone,recommendation,طَافَ النَّبيُّ صلى الله عليه وسلم بِالْبَيْتِ عَلَى بَعِيرٍ كُلَّمَا أَتَى الرُّكْنَ أَشَارَ إِلَيْهِ بِشَيْءٍ عِنْدَهُ وَكَبَّرَ,,,"Reference:Al-Bukhari, cf. Al-Asqalani, Fathul-Bari 3/476. See also 472. The 'something' that was referred to in this Hadith was a cane.Hisnul Muslim 234"
Chapter 117: Between the Yemeni corner and the black stone,1 du'a,﴿رَبَّنَا آتِنَا في الدُّنْيَا حسَنَةً وفي الآخِرَةِ حسَنةً وقِنَا عذَابَ النَّارِ﴾,Rabbanā ātinā fid-dunyā ḥasanahwa fi ‘l-ākhirati ḥasanahwa qinā `adhāban-nār.,"Our Lord, grant us the good things in this world, and the good things in the next life, and save us from the punishment of the Fire.","Reference:Abu Dawud 2/179, Ahmad 3/411, Al-Baghawi, Sharhus-Sunnah 7/128. Al-Albani graded it good in Sahih Abu Dawud 1/354. The Ayat is from Surat Al-Baqarah, 2:201.Hisnul Muslim 235"
Chapter 118: When at Mount Safa and Mount Marwah,1 du'a,(لَمَّا دَنَا النَّبِيُّ صلى الله عليه وسلم مِنَ الصَّفَا قَرَأَ:  ﴿إِنَّ الصَّفَا وَالْمَرْوَةَ مِنْ شَعَآئِرِ اللَّهِ﴾ 'أَبْدَأُ بِمَا بَدَأَ اللَّهُ بِهِ' فَبَدَأَ بِالصَّفَا فَرَقِيَ عَلَيْهِ حَتَّى رَأَى الْبَيْتَ فَاسْتَقْبَلَ الْقِبْلَةَ فَوَحَّدَ اللَّهَ وَكبَّرَهُ وَقَالَ:  إِلاَّ اللَّهُ وَحْدَهُ لاَ شَرِيكَ لَهُ لَهُ الْمُلْكُ وَلَهُ الْحَمْدُ وَهُوَ عَلَى كُلِّ شَيْءٍ قَدِيرٌ لاَ إِلَهَ إِلاَّ اللَّهُ وَحْدَهُ أَنْجَزَ وَعْدَهُ وَنَصَرَ عَبْدَهُ وَهَزَمَ الْأَحْزَابَ وَحْدَهُثُمَّ دَعَا بَيْنَ ذلكَ. قَالَ مِثْلَ هَذَا ثَلاَثَ مَرَّاتٍ) الْحَدِيثُ.  وَفِيهِ: (فَفَعَلَ عَلَى الْمَرْوَةِ كَمَا فَعَلَ عَلَى الصَّفَا),"Whenever the Prophet (ﷺ) approached Mount Safa, he would recite: Innaṣ-Ṣafā wa ‘l-Marwata min sha`ā'irillāh. Abda'u bimā bada'allāhu bih.He began (his Sa`y) at Mount Safa climbing it, until he could see the House. He then faced the Qiblah repeating the words: Lā ilāha illallāh, Allāhu AkbarThen he said: Lā ilāha 'illallāhwaḥdahu lā sharīka lah. Lahu ‘l-mulku wa lahu ‘l-ḥamdwa Huwa `alā kulli shay'in Qadīr. lā 'ilāha illallāhu waḥdahu, anjaza wa`dahu, wa naṣara `abdahu, wa hazama ‘l 'aḥzāba waḥdah.Then he would ask Allah for what he liked, repeating the same three times. He did at Mount Marwah as he did at Mount Safa.","Surely Safa and Marwah are among the signs of Allah. I begin by that which Allah began. He began (his Sa'y) at Mount Safa climbing it until he could see the House. He then faced the Qiblah repeating the words: There is none worthy of worship but Allah, and Allah is the Most Great. Then he said: None has the right to be worshipped but Allah alone, Who has no partner, His is the dominion and His is the praise, and He is Able to do all things. None has the right to be worshipped but Allah alone, He fulfilled His Promise, He aided His slave, and He alone defeated Confederates. Then he would ask Allah for what he liked, repeating the same thing like this three times. He did at Mount Marwah as he did at Mount Safa.",Reference:Muslim 2/888.Hisnul Muslim 236
Chapter 119: The Day of Arafah,1 du'a,خير الدعاء دعاء يوم عرفة وخيرُ ما قلت أنا والنبيُّون من قبلي :  لا إله إلا الله وحدهُ لا شريك لهُ  لهُ الملكُ ولهُ الحمدُ وهو على كل شيء قدير.,Lā 'ilāha 'illallāhu waḥdahu lā sharīka lahu. lahul-mulku wa lahul-ḥamdu wa huwa `alā kulli shay'in qadīr.,"None has the right to be worshipped but Allah Alone, Who has no partner. His is the dominion and His is the praise, and He is Able to do all things.","Reference:At-Tirmidhi. Al-Albani graded it good in Sahih At-Tirmidhi 3/184, and also Silsilatul-'Ahadith As-Sahihah 4/6.Hisnul Muslim 237"
Chapter 120: Remembrance at Muzdalifa,recommendation,رَكِبَ صلى الله عليه وسلم الْقَصْوَاءَ حَتَّى أَتَى الْمَشْعَرَ الْحَرَامَ فَاسْتَقْبَلَ الْقِبْلَةَ (فَدَعَاهُ وَكَبَّرَهُ وَهَللَّهُ وَوَحَّدَهُ) فَلَمْ يَزَلْ وَاقِفاً حَتَّى أَسْفَرَ جِدَّاً فَدَفَعَ قَبْلَ أَنْ تَطْلُعَ الشَّمسُ.,,,Reference:Muslim 2/891.Hisnul Muslim 238
Chapter 121: Takbir when throwing each pebble at the Jamarat,recommendation,يُكَبِّرُ كُلَّمَا رَمَى بِحَصَاةٍ عِنْدَ الْجِمَارِ الثَّلاَثِ ثُمَّ يَتَقَدَّمُ ويَقِفُ يَدْعُو مُسْتَقْبِلَ الْقِبلَةِ رَافِعاً يَدَيْهِ بَعْدَ الْجَمْرَةِ الْأُولَى وَالثَّانِيَةِ. أَمَّا جَمْرَةُ الْعَقَبَةِ فَيَرْمِيهَا وَيُكَبِّرُ عِنْدَ كُلِّ حَصَاةٍ وَيَنْصَرِفُ وَلاَ يَقِفُ عِنْدَهَا,,,"Reference:Al-Bukhari, cf. Al-Asqalani, Fathul-Bari 3/581, 3, 4, and MuslimHisnul Muslim 239"
Chapter 122: At times of amazement and that which delights,1 du'a,سُـبْحانَ الله,Subḥānallāh!,(Glory is to Allah).,"Reference:Al-Bukhari, cf. Al-Asqalani, Fathul-Bari 1/210, 390, 414 and Muslim 4/1857.Hisnul Muslim 240"
Uncategorized,N/A,اللهُ أَكْـبَر,Allāhu Akbar!,(Allah is the Most Great),"Reference:Al-Bukhari, cf. Al-Asqalani, Fathul-Bari 8/441. See also Al-Albani, Sahih At-Tirmidhi 2/103, 235, Ahmad 5/218.Hisnul Muslim 241"
Chapter 123: Upon receiving pleasant news,recommendation,كَانَ النَّبيُّ صلى الله عليه وسلم إِذَا أَتَاهُ أَمْرٌ يَسُرُّهُ أَوْ يُسَرُّ بِهِ خَرَّ سَاجِداً شُكْراً لِلَّهِ تَبَارَكَ وَتَعَالَى,,,"Reference:Abu Dawud, Ibn Majah, At-Tirmidhi. See also Al-Albani, Sahih Ibn Majah 1/233, and 'Irwa'ul-Ghalil 2/226.Hisnul Muslim 242"
Chapter 124: When feeling some pain in the body,1 du'a,ضَعْ يَدَكَ عَلَى الَّذِي تَألَّمَ مِنْ جَسَدِكَ وَقُلْ: 'بِسْمِ اللَّهِ' ثَلاَثاً وَقُلْ سَبْعَ مَرَّاتٍ: 'أَعُوذُ بِاللَّهِ وَقُدْرَتِهِ مِنْ شَرِّ مَا أَجِدُ وَأُحَاذِرُ',Put your hand on the place where you feel pain and say: Bismillāh (three times).Then say seven times: A`ūdhu billāhi wa qudratihi min sharri mā ajidu wa uḥādhir.,Put your hand on the place where you feel pain and say: With the Name of Allah (three times). Then say seven times: I seek refuge in Allah and in His Power from the evil of what I find and of what I guard against.,Reference:Muslim 4/1728.Hisnul Muslim 243
Chapter 125: When in fear of afflicting something with an (evil) eye from oneself,recommendation,إِذَا رَأَى أَحَدُكُم مِنْ أَخِيهِ أَوْ مِنْ نَفْسِهِ أَوْ مِنْ مَالِهِ مَا يُعْجِبُهُ [فَلْيَدْعُ لَهُ بِالْبَرَكَةِ] فَإِنَّ الْعَيْنَ حَقٌّ,,,"Reference:Ahmad 4/447, Ibn Majah, Malik. Al-Albani graded it authentic in Sahihul-Jami' As-Saghir 1/212. Also see Al-Arna'ut's checking of Ibn Al-Qayyim's Zadul-Ma'ad 4/170.Hisnul Muslim 244"
Chapter 126: When startled,1 du'a,لا إلهَ إلاّ اللّهُ,Lā ilāha illallāh!,There is none worthy of worship but Allah!,"Reference:Al-Bukhari, cf. Al-Asqalani, Fathul-Bari 6/181, Muslim 4/2208.Hisnul Muslim 245"
Chapter 127: When slaughtering or offering a sacrifice,1 du'a,بِسْمِ اللَّهِ وَاللَّهُ أَكْبَرُ [اللَّهُمَّ مِنْكَ وَلَكَ] اللَّهُمَّ تَقَبَّلْ مِنِّي,Bismillāh wallāhu Akbar [Allāhumma minka wa lak] Allāhumma taqabbal minnī.,"With the Name of Allah, Allah is the Most Great![O Allah, from You and to You.] O Allah, accept it from me.","Reference:Muslim 3/ 1557, Al-Bayhaqi 9/287.Hisnul Muslim 246"
Chapter 128: To ward off the plot of the rebellious devils,1 du'a,أَعُوذُ بكَلِمَاتِ اللهِ التَّامَّاتِ الَّتِي لَا يُجَاوِزُهُنَّ بَرٌّ ولَا فَاجرٌ مِنْ شّرِّ مَا خَلقَ وبَرَأَ وذَرَأَ ومِنْ شَرِّ مَا يَنْزِلُ مِنَ السَّمَاءِ وِمنْ شَرِّ مَا يَعْرُجُ فيهَا ومِن شَرِّ مَا ذَرَأَ في الأَرْضِ ومِنْ شَرِّ مَا يَخْرُجُ مِنْهَا وِمنْ شَرِّ فِتَنِ اللَّيْلِ والنَّهارِ ومِنْ شَرِّ كُلِّ طارِقٍ إِلَّا طَارِقاً يَطْرُقُ بخَيْرٍ يَا رَحْمَنُ,A`ūdhu bikalimāti ‘llāhit-tāmmāti ‘llatī lā yujāwizuhunna barrun wa lā fājirunmin sharri mā khalaq. wa bara'a wa dhara'. wa min sharri mā yanzilu minas-samā'. wa min sharri mā ya`ruju fīhā. wa min sharri mā dhara'a fi ‘l-arḍ. wa min sharri ma yakhruju minhā. wa min sharri fitani ‘llayli wannahār. wa min sharri kulli ṭāriqinillā ṭāriqan yaṭruqu bikhayryā Rahmān.,"I seek refuge in the Perfect Words of Allah -which neither the upright nor the corrupt may overcome -from the evil of what He created, of what He made, and of what He scattered, from the evil of what descends from theheavens, and of what rises up to them, from the evil of what He scattered in the earth, and of what emerges from it, from the evil trials of night and day, and from the evil of every night visitor, except the night visitor who comes with good. O Merciful One.","Reference:Ahmad 3/419, with an authentic chain of narration, and Ibn As-Sunni (no. 637). Al-Arna'ut, graded its chain authentic in his checking of Al-'Aqidah At-Tahawiyyah p. 133. See also Majma'uz-Zawa'id, 10/127.Hisnul Muslim 247"
Chapter 129: Seeking forgiveness and repentance,1recommendation,قَالَ رَسُولُ اللَّهِ صلى الله عليه وسلم: 'وَاللَّهِ إِنِّي لأَسْتَغفِرُ اللَّهَ وَأَتُوبُ إِلَيْهِ فِي الْيَوْمِ أَكْثَرَ مِنْ سَبْعِينَ مَرَّةٍ',,,"Reference:Al-Bukhari, cf. Al-Asqalani, Fathul-Bari 11/101.Hisnul Muslim 248"
Uncategorized,recommendation,,,,Reference:Muslim 4/2076.Hisnul Muslim 249
Uncategorized,N/A,وَقَالَ صلى الله عليه وسلم: مَنْ قَالَ (أَسْتَغْفِرُ اللَّهَ الْعَظيمَ الَّذِي لاَ إِلَهَ إِلاَّ هُوَ الْحَيُّ القَيّوُمُ وَأَتُوبُ إِلَيهِ) غَفَرَ اللَّهُ لَهُ وَإِنْ كَانَ فَرَّ مِنَ الزَّحْفِ.,Astaghfirullāha ‘l-'Aẓīmalladhi lā ilāha illā huwa ‘l-ḥayyul-Qayyūmwa atūbu ilayh.,"Allah's Messenger (ﷺ) said, Whoever says: I seek the forgiveness of Allah the Mighty, Whom there is none worthy of worship except Him, the Living, the Eternal, and I repent to Him.  Allah will forgive him even if he has deserted the army's ranks.","Reference:Abu Dawud 2/85, At-Tirmidhi 5/569, and Al-Hakim who declared it authentic and Ath-Thahabi agreed with him 1/511. Al-Albani graded it authentic in Sahih At-Tirmidhi 3/182. See also Jami'ul-'Usool li-'Ahdaith Ar-Rasool 4/ 389-90 checked by Al-Arna'ut.Hisnul Muslim 250"
